step,loss,loss/distill_future_flow,loss/distill_future_flow_mean,loss/distill_future_force,loss/distill_future_force_mean,loss/hand_synergy,loss/student_action,loss/student_action_arm,loss/student_action_hand,loss/tactile_refiner_delta_reg,loss/teacher_action,loss/teacher_action_arm,loss/teacher_action_hand,loss/total
5000,0.09542828,0.0,0.0,0.05741695,0.05741695,0.0,0.04675867,0.06217761,0.07788821,0.0,0.04292792,0.05980648,0.07035342,0.09542828
5100,0.09062866,0.0,0.0,0.05731786,0.05731786,0.0,0.04459962,0.05871737,0.07702734,0.0,0.04029725,0.05815754,0.06644028,0.09062866
5200,0.10133287,0.0,0.0,0.0594066,0.0594066,0.0,0.04961627,0.06852089,0.08055406,0.0,0.04577594,0.06732848,0.07208803,0.10133287
5300,0.09259021,0.0,0.0,0.05614756,0.05614756,0.0,0.0454799,0.06387292,0.07488712,0.0,0.04149555,0.06283662,0.06601499,0.09259021
5400,0.0947753,0.0,0.0,0.05621322,0.05621322,0.0,0.04687187,0.06400779,0.07807277,0.0,0.0422821,0.06244031,0.06760053,0.0947753
5500,0.09567221,0.0,0.0,0.06053957,0.06053957,0.0,0.04736671,0.06372695,0.08028464,0.0,0.04225155,0.06302684,0.06743713,0.09567221
5600,0.09170928,0.0,0.0,0.05823519,0.05823519,0.0,0.04477959,0.06265957,0.0739281,0.0,0.04110616,0.06133588,0.06532169,0.09170928
5700,0.08806876,0.0,0.0,0.05399335,0.05399335,0.0,0.04307112,0.05812846,0.07343971,0.0,0.03959831,0.05713424,0.06490183,0.08806876
5800,0.0948688,0.0,0.0,0.06021834,0.06021834,0.0,0.04694636,0.06250995,0.07850846,0.0,0.0419006,0.05939908,0.06760434,0.0948688
5900,0.09059833,0.0,0.0,0.05951374,0.05951374,0.0,0.04488715,0.05891944,0.0781369,0.0,0.03975981,0.05498322,0.06713803,0.09059833
6000,0.08306465,0.0,0.0,0.05793453,0.05793453,0.0,0.04021813,0.05808131,0.06704776,0.0,0.03705307,0.05707984,0.05934244,0.08306465
6100,0.08816247,0.0,0.0,0.05920796,0.05920796,0.0,0.04262044,0.05993429,0.07150825,0.0,0.03962124,0.05775677,0.06527635,0.08816247
6200,0.08843201,0.0,0.0,0.05493904,0.05493904,0.0,0.04294479,0.05723716,0.07249568,0.0,0.0399933,0.05484287,0.06598632,0.08843201
6300,0.08307604,0.0,0.0,0.05670027,0.05670027,0.0,0.04092296,0.05738426,0.06987553,0.0,0.03648305,0.05484752,0.0600501,0.08307604
6400,0.08811739,0.0,0.0,0.05736211,0.05736211,0.0,0.04331056,0.05786822,0.07384003,0.0,0.03907062,0.05636546,0.06404635,0.08811739
6500,0.08530679,0.0,0.0,0.05612876,0.05612876,0.0,0.0419082,0.05398668,0.07359952,0.0,0.03778571,0.05293489,0.06381476,0.08530679
6600,0.08062737,0.0,0.0,0.05105887,0.05105887,0.0,0.03958498,0.05759959,0.06726366,0.0,0.0359365,0.05435861,0.05956212,0.08062737
6700,0.07681608,0.0,0.0,0.05350022,0.05350022,0.0,0.03748062,0.05189816,0.06487987,0.0,0.03398544,0.04997369,0.05715774,0.07681608
6800,0.0828854,0.0,0.0,0.05548508,0.05548508,0.0,0.04062088,0.05686351,0.0678581,0.0,0.03671601,0.05431787,0.05979382,0.0828854
6900,0.08144186,0.0,0.0,0.05556602,0.05556602,0.0,0.03952812,0.05521933,0.06551171,0.0,0.03635715,0.05343603,0.05847962,0.08144186
7000,0.08254413,0.0,0.0,0.05729721,0.05729721,0.0,0.03999806,0.05438557,0.06743807,0.0,0.03681634,0.05219923,0.06022558,0.08254413
7100,0.08070469,0.0,0.0,0.05532209,0.05532209,0.0,0.0395639,0.05365391,0.06673432,0.0,0.03560859,0.05140509,0.05779494,0.08070469
7200,0.08135469,0.0,0.0,0.05639564,0.05639564,0.0,0.04027313,0.05253617,0.07086946,0.0,0.035442,0.05049082,0.05933409,0.08135469
7300,0.07727001,0.0,0.0,0.05612159,0.05612159,0.0,0.03753039,0.05405111,0.06421761,0.0,0.03412746,0.05271692,0.05606751,0.07727001
7400,0.07592195,0.0,0.0,0.05476983,0.05476983,0.0,0.03681858,0.04878714,0.06390688,0.0,0.03362639,0.04719648,0.05670261,0.07592195
