step,loss,loss/distill_future_flow,loss/distill_future_flow_mean,loss/distill_future_force,loss/distill_future_force_mean,loss/hand_synergy,loss/student_action,loss/student_action_arm,loss/student_action_hand,loss/tactile_refiner_delta_reg,loss/teacher_action,loss/teacher_action_arm,loss/teacher_action_hand,loss/total
5000,0.09738501,0.0,0.0,0.06681194,0.06681194,0.0,0.04696719,0.06170489,0.07937177,0.0,0.04373663,0.0594793,0.07214718,0.09738501
5100,0.09221476,0.0,0.0,0.06392632,0.06392632,0.0,0.04489632,0.05894051,0.07794615,0.0,0.0409258,0.058708,0.06754257,0.09221476
5200,0.10241953,0.0,0.0,0.07605728,0.07605728,0.0,0.04953551,0.0683253,0.08054398,0.0,0.04527828,0.06690414,0.07058337,0.10241953
5300,0.09415239,0.0,0.0,0.07005209,0.07005209,0.0,0.04533907,0.06371456,0.07431863,0.0,0.04180811,0.06264003,0.06610902,0.09415239
5400,0.0965234,0.0,0.0,0.07748695,0.07748695,0.0,0.04639747,0.06387399,0.07680999,0.0,0.04237724,0.06251857,0.06717489,0.0965234
5500,0.09659464,0.0,0.0,0.07358665,0.07358665,0.0,0.04712719,0.0637199,0.07940093,0.0,0.04210878,0.0625018,0.06720087,0.09659464
5600,0.09105787,0.0,0.0,0.07087781,0.07087781,0.0,0.04369838,0.06084732,0.07194679,0.0,0.0402717,0.05901052,0.06440925,0.09105787
5700,0.08858073,0.0,0.0,0.06618945,0.06618945,0.0,0.04295391,0.05818192,0.07268355,0.0,0.03900787,0.05647599,0.06327084,0.08858073
5800,0.09611828,0.0,0.0,0.07266148,0.07266148,0.0,0.047611,0.06249482,0.08024132,0.0,0.04124112,0.05816879,0.06589082,0.09611828
5900,0.09146204,0.0,0.0,0.07734071,0.07734071,0.0,0.04402681,0.05800381,0.07640201,0.0,0.03970116,0.05491426,0.06684344,0.09146204
6000,0.0827975,0.0,0.0,0.06811664,0.06811664,0.0,0.04013583,0.057298,0.06686556,0.0,0.03585,0.05612379,0.05690989,0.0827975
6100,0.09061626,0.0,0.0,0.07641181,0.07641181,0.0,0.04373066,0.05982332,0.0746909,0.0,0.03924443,0.05836741,0.06401902,0.09061626
6200,0.08934694,0.0,0.0,0.07309644,0.07309644,0.0,0.04244385,0.05688503,0.07074668,0.0,0.03959345,0.05532451,0.06411397,0.08934694
6300,0.08513413,0.0,0.0,0.06734116,0.06734116,0.0,0.0413196,0.05686004,0.07090027,0.0,0.0370804,0.05366717,0.06166133,0.08513413
6400,0.08807316,0.0,0.0,0.06761321,0.06761321,0.0,0.04241271,0.05817071,0.07082574,0.0,0.03889912,0.0565419,0.06333207,0.08807316
6500,0.08672184,0.0,0.0,0.07178538,0.07178538,0.0,0.04141361,0.05403697,0.07229962,0.0,0.03812969,0.05260502,0.06461623,0.08672184
6600,0.08058851,0.0,0.0,0.06003474,0.06003474,0.0,0.03908226,0.05585147,0.06690729,0.0,0.03550279,0.05413859,0.05844884,0.08058851
6700,0.07706916,0.0,0.0,0.06342892,0.06342892,0.0,0.03721866,0.05265438,0.06397523,0.0,0.03350761,0.05007976,0.0555771,0.07706916
6800,0.08406263,0.0,0.0,0.07137374,0.07137374,0.0,0.04072108,0.05635171,0.06856936,0.0,0.03620417,0.053868,0.05825845,0.08406263
6900,0.08279961,0.0,0.0,0.0712396,0.0712396,0.0,0.0395428,0.05616247,0.06523049,0.0,0.03613285,0.05359628,0.05788732,0.08279961
7000,0.08317015,0.0,0.0,0.06770452,0.06770452,0.0,0.04028737,0.05442405,0.06756472,0.0,0.03611233,0.05248443,0.05821567,0.08317015
7100,0.08192934,0.0,0.0,0.06926768,0.06926768,0.0,0.03962456,0.05302108,0.06700224,0.0,0.03537802,0.05129312,0.05729872,0.08192934
7200,0.08252969,0.0,0.0,0.07090381,0.07090381,0.0,0.04031088,0.05223667,0.07114153,0.0,0.03512842,0.05032694,0.05872338,0.08252969
7300,0.07747291,0.0,0.0,0.06462132,0.06462132,0.0,0.03737884,0.05377954,0.06382864,0.0,0.03363194,0.05300073,0.0544409,0.07747291
7400,0.07535359,0.0,0.0,0.06157811,0.06157811,0.0,0.03630516,0.0488954,0.06243876,0.0,0.03289062,0.04787204,0.05442013,0.07535359
7500,0.0881467,0.0,0.0,0.06715612,0.06715612,0.0,0.04241009,0.05724233,0.07139923,0.0,0.039021,0.05547324,0.06380229,0.0881467
7600,0.0804324,0.0,0.0,0.06384631,0.06384631,0.0,0.03884285,0.05102206,0.06787447,0.0,0.03520493,0.04938398,0.05928651,0.0804324
7700,0.08060456,0.0,0.0,0.07256076,0.07256076,0.0,0.03862029,0.05147347,0.06535364,0.0,0.03472819,0.05049187,0.05658603,0.08060456
7800,0.07986898,0.0,0.0,0.0640582,0.0640582,0.0,0.03874336,0.04967115,0.06848485,0.0,0.03471981,0.04803169,0.05888364,0.07986898
7900,0.08089466,0.0,0.0,0.06584331,0.06584331,0.0,0.03915068,0.05262412,0.06739501,0.0,0.03515965,0.05185039,0.05744644,0.08089466
8000,0.07171948,0.0,0.0,0.05788811,0.05788811,0.0,0.03458538,0.04806698,0.05976589,0.0,0.03134529,0.04732165,0.05211876,0.07171948
8100,0.07469802,0.0,0.0,0.06468044,0.06468044,0.0,0.0359886,0.05121523,0.06083183,0.0,0.03224137,0.04936377,0.05220257,0.07469802
8200,0.07339411,0.0,0.0,0.06352249,0.06352249,0.0,0.03528075,0.04742148,0.06099896,0.0,0.03176112,0.04660571,0.0519352,0.07339411
8300,0.07294267,0.0,0.0,0.06335346,0.06335346,0.0,0.0348711,0.04820226,0.05905779,0.0,0.03173624,0.04752108,0.05110938,0.07294267
8400,0.07146551,0.0,0.0,0.0643212,0.0643212,0.0,0.03394097,0.04605573,0.05963067,0.0,0.03109241,0.04440132,0.05301687,0.07146551
8500,0.07277071,0.0,0.0,0.06471271,0.06471271,0.0,0.03490604,0.04797244,0.06046157,0.0,0.03139338,0.04650864,0.05207562,0.07277071
8600,0.07246643,0.0,0.0,0.06365573,0.06365573,0.0,0.03478164,0.04899775,0.05855596,0.0,0.03131921,0.04682858,0.05089322,0.07246643
8700,0.07339063,0.0,0.0,0.06161756,0.06161756,0.0,0.03500344,0.04865948,0.05900115,0.0,0.03222544,0.04672419,0.05324064,0.07339063
8800,0.07097905,0.0,0.0,0.05972486,0.05972486,0.0,0.03399522,0.04690817,0.05804273,0.0,0.03101135,0.04634589,0.05076324,0.07097905
8900,0.07168106,0.0,0.0,0.06189137,0.06189137,0.0,0.03482297,0.04811561,0.05909111,0.0,0.03066895,0.04627297,0.0499057,0.07168106
9000,0.06941422,0.0,0.0,0.05858238,0.05858238,0.0,0.03297993,0.04636455,0.05522098,0.0,0.03057606,0.04516743,0.04957981,0.06941422
9100,0.06957544,0.0,0.0,0.06446468,0.06446468,0.0,0.03279641,0.04793372,0.05505672,0.0,0.03033257,0.04729191,0.04906261,0.06957544
9200,0.06741923,0.0,0.0,0.06501007,0.06501007,0.0,0.03178654,0.04453026,0.05464526,0.0,0.02913169,0.04398864,0.04823119,0.06741923
